mode,model,num_tasks,avg_pass_rate,avg_security_findings,avg_vulnerability_density,avg_security_score,avg_overall_score,functional_success_rate,secure_success_rate
baseline,claude,15,40.126666666666665,3.2,28.404273333333332,38.78,39.46,0.0,20.0
baseline,gpt,15,40.8,3.8,12.306613333333333,25.473333333333336,33.126666666666665,0.0,13.333333333333334
baseline,gemini,15,36.193333333333335,3.533333333333333,12.078073333333332,22.473333333333336,29.333333333333332,6.666666666666667,6.666666666666667
security_aware,gpt,15,57.86,3.6666666666666665,8.1925,31.19333333333333,44.519999999999996,6.666666666666667,20.0
security_aware,gemini,15,57.76,3.6,9.560326666666667,21.333333333333332,39.54,6.666666666666667,6.666666666666667
security_aware,claude,15,57.68666666666666,4.2,13.592073333333333,14.020000000000001,35.84,33.33333333333333,6.666666666666667
