mode,num_tasks,avg_pass_rate,avg_security_findings,avg_vulnerability_density,avg_security_score,avg_overall_score,functional_success_rate,secure_success_rate
security_aware,45,57.76888888888889,3.8222222222222224,10.4483,22.182222222222222,39.96666666666667,15.555555555555555,11.11111111111111
baseline,45,39.04,3.511111111111111,17.59632,28.908888888888892,33.97333333333333,2.2222222222222223,13.333333333333334
