mode,model,num_tasks,avg_pass_rate,avg_security_findings,avg_security_score,avg_overall_score,functional_success_rate,secure_success_rate
baseline,claude,15,43.04666666666667,3.533333333333333,34.61333333333334,38.84,0.0,20.0
baseline,gpt,15,48.85333333333333,3.7333333333333334,26.30666666666667,37.580000000000005,0.0,13.333333333333334
baseline,gemini,15,30.89333333333333,3.6,27.473333333333336,29.173333333333336,0.0,13.333333333333334
security_aware,gpt,15,69.66666666666667,3.933333333333333,24.526666666666664,47.086666666666666,13.333333333333334,13.333333333333334
security_aware,gemini,15,63.873333333333335,3.533333333333333,28.0,45.92666666666666,6.666666666666667,13.333333333333334
security_aware,claude,15,60.60666666666667,4.133333333333334,20.686666666666667,40.63333333333333,33.33333333333333,13.333333333333334
