mode,num_tasks,avg_pass_rate,avg_security_findings,avg_security_score,avg_overall_score,functional_success_rate,secure_success_rate
security_aware,45,62.64222222222222,1.3777777777777778,70.62,66.6288888888889,17.77777777777778,64.44444444444444
baseline,45,40.931111111111115,1.4,72.5,56.724444444444444,0.0,71.11111111111111
