mode,model,num_tasks,avg_pass_rate,avg_security_findings,avg_security_score,avg_overall_score,functional_success_rate,secure_success_rate
baseline,claude,15,43.04666666666667,1.3333333333333333,77.5,60.27333333333333,0.0,73.33333333333333
baseline,gpt,15,48.85333333333333,1.4666666666666666,66.66666666666667,57.77333333333333,0.0,66.66666666666666
baseline,gemini,15,30.89333333333333,1.4,73.33333333333333,52.126666666666665,0.0,73.33333333333333
security_aware,gpt,15,69.66666666666667,1.4666666666666666,67.28666666666666,68.48,13.333333333333334,60.0
security_aware,gemini,15,57.65333333333333,1.2,73.95333333333333,65.8,6.666666666666667,66.66666666666666
security_aware,claude,15,60.60666666666667,1.4666666666666666,70.61999999999999,65.60666666666667,33.33333333333333,66.66666666666666
